payment_id,order_id,customer_id,payment_date,gross_amount,fee,refund,net_amount,settlement_id,currency,status
PAY2033,ORD5033,Acme Traders,2026-09-01,57314.39,859.72,0,56454.67,,INR,captured
PAY2034,ORD5034,Bluewave Logistics,2026-09-01,11213.35,168.2,0,11045.15,,INR,captured
PAY2035,ORD5035,Crestline Foods,2026-09-01,67435.86,1011.54,0,66424.32,,INR,captured
PAY2036,ORD5036,Delta Textiles,2026-09-01,17293.87,259.41,0,17034.46,,INR,captured
PAY2037,ORD5037,Crestline Foods,2026-09-01,12648.22,227.67,0,12420.55,,INR,captured
PAY2038,ORD5038,Delta Textiles,2026-09-01,13359.88,240.48,0,13119.4,,INR,captured
PAY2039,ORD5039,Everline Media,2026-09-01,57044.39,1026.8,0,56017.59,,INR,captured
PAY2040,ORD5040,Falcon Freight,2026-09-01,70103.48,1261.86,0,68841.62,,INR,captured
PAY2041,ORD5041,Greenfield Farms,2026-09-01,71643.73,1289.59,0,70354.14,,INR,captured
PAY2042,ORD5042,Horizon Retail,2026-09-01,49174.23,885.14,0,48289.09,,INR,captured
PAY2043,ORD5043,Indigo Health,2026-09-01,68129.16,1226.32,0,66902.84,,INR,captured
PAY2044,ORD5044,Jupiter Electronics,2026-09-01,68669.25,1236.05,0,67433.2,,INR,captured
PAY2045,ORD5045,Kestrel Analytics,2026-09-01,35539.52,639.71,0,34899.81,,INR,captured
PAY2046,ORD5046,Lumen Energy,2026-09-01,62722.54,1129.01,0,61593.53,,INR,captured
PAY2047,ORD5047,Meridian Pharma,2026-09-01,63656.19,1145.81,0,62510.38,,INR,captured
PAY2048,ORD5048,Novastar Apparel,2026-09-01,48402.39,871.24,0,47531.15,,INR,captured
PAY2049,ORD5049,Oakridge Furniture,2026-09-01,78846.39,1419.24,0,77427.15,,INR,captured
PAY2050,ORD5050,Pinecrest Consulting,2026-09-01,42494.58,764.9,0,41729.68,,INR,captured
PAY2051,ORD5051,Acme Traders,2026-09-01,14185.01,255.33,0,13929.68,,INR,captured
PAY2052,ORD5052,Bluewave Logistics,2026-09-01,71597.42,1288.75,0,70308.67,,INR,captured
PAY2053,ORD5053,Everline Media,2026-09-01,18798.57,0,0,18798.57,,INR,captured
PAY2054,ORD5054,Falcon Freight,2026-09-01,15886.5,0,0,15886.5,,INR,captured
PAY2055,ORD5055,Greenfield Farms,2026-09-01,24015.29,0,0,24015.29,,INR,captured
PAY2056,ORD5056,Horizon Retail,2026-09-01,11146.79,0,0,11146.79,,INR,captured
PAY2057,ORD5057,Indigo Health,2026-09-01,13867.33,0,0,13867.33,,INR,captured
PAY2058,ORD5058,Jupiter Electronics,2026-09-01,8001.14,0,0,8001.14,,INR,captured
PAY2059,ORD5059,Kestrel Analytics,2026-09-01,9636.58,0,0,9636.58,,INR,captured
PAY2060,ORD5060,Lumen Energy,2026-09-01,12252.13,0,0,12252.13,,INR,captured
PAY2061,ORD5061,Meridian Pharma,2026-09-01,11769.12,0,0,11769.12,,INR,captured
PAY2062,ORD5062,Novastar Apparel,2026-09-01,18828.55,0,0,18828.55,,INR,captured
PAY2063,ORD5063,Oakridge Furniture,2026-09-01,7564.15,0,0,7564.15,,INR,captured
PAY2064,ORD5064,Pinecrest Consulting,2026-09-01,14567.89,0,0,14567.89,,INR,captured
PAY2065,ORD5065,Acme Traders,2026-09-01,7087.95,0,0,7087.95,,INR,captured
PAY2066,ORD5066,Bluewave Logistics,2026-09-01,14379.99,0,0,14379.99,,INR,captured
PAY2067,ORD5067,Crestline Foods,2026-09-01,16622.89,0,0,16622.89,,INR,captured
PAY2068,ORD5068,Delta Textiles,2026-09-01,9550.84,0,0,9550.84,,INR,captured
PAY2069,ORD5069,Everline Media,2026-09-01,13316.65,0,0,13316.65,,INR,captured
PAY2070,ORD5070,Falcon Freight,2026-09-01,15360.0,0,0,15360.0,,INR,captured
PAY2071,ORD5071,Greenfield Farms,2026-09-01,6403.31,0,0,6403.31,,INR,captured
PAY2072,ORD5072,Horizon Retail,2026-09-01,13334.35,0,0,13334.35,,INR,captured
PAY2073,ORD5073,Indigo Health,2026-09-01,8624.74,0,0,8624.74,,INR,captured
PAY2074,ORD5074,Jupiter Electronics,2026-09-01,11130.96,0,0,11130.96,,INR,captured
PAY2075,ORD5075,Kestrel Analytics,2026-09-01,19036.88,0,0,19036.88,,INR,captured
PAY2076,ORD5076,Lumen Energy,2026-09-01,18001.49,0,0,18001.49,,INR,captured
PAY2077,ORD5077,Meridian Pharma,2026-09-01,16955.0,0,0,16955.0,,INR,captured
PAY2078,ORD5078,Novastar Apparel,2026-09-01,15593.72,0,0,15593.72,,INR,captured
PAY2079,ORD5079,Office stationery vendor,2026-09-01,11850.01,0,0,11850.01,,INR,captured
PAY2080,ORD5080,Cloud infra provider,2026-09-01,8589.8,0,0,8589.8,,INR,captured
PAY2081,ORD5081,Courier partner,2026-09-01,14106.35,0,0,14106.35,,INR,captured
PAY2082,ORD5082,Marketing agency,2026-09-01,16352.46,0,0,16352.46,,INR,captured
PAY2083,ORD5083,Insurance broker,2026-09-01,10523.19,0,0,10523.19,,INR,captured
PAY2084,ORD5084,Facilities contractor,2026-09-01,12467.7,0,0,12467.7,,INR,captured
PAY2085,ORD5085,Legal counsel retainer,2026-09-01,5407.92,0,0,5407.92,,INR,captured
PAY2086,ORD5086,Recruitment agency,2026-09-01,8451.65,0,0,8451.65,,INR,captured
PAY2087,ORD5087,Acme Traders,2026-09-01,12955.53,259.11,0,12696.42,SET7001,INR,captured
PAY2088,ORD5088,Bluewave Logistics,2026-09-01,8588.06,171.76,0,8416.3,SET7001,INR,captured
PAY2089,ORD5089,Crestline Foods,2026-09-01,7353.08,147.06,0,7206.02,SET7001,INR,captured
PAY2090,ORD5090,Delta Textiles,2026-09-01,13225.85,264.52,0,12961.33,SET7001,INR,captured
PAY2091,ORD5091,Bluewave Logistics,2026-09-01,9483.43,189.67,0,9293.76,SET7002,INR,captured
PAY2092,ORD5092,Crestline Foods,2026-09-01,13239.28,264.79,0,12974.49,SET7002,INR,captured
PAY2093,ORD5093,Delta Textiles,2026-09-01,4503.48,90.07,0,4413.41,SET7002,INR,captured
PAY2094,ORD5094,Everline Media,2026-09-01,12775.52,255.51,0,12520.01,SET7002,INR,captured
PAY2095,ORD5095,Crestline Foods,2026-09-01,10305.71,206.11,0,10099.6,SET7003,INR,captured
PAY2096,ORD5096,Delta Textiles,2026-09-01,12482.84,249.66,0,12233.18,SET7003,INR,captured
PAY2097,ORD5097,Everline Media,2026-09-01,8558.66,171.17,0,8387.49,SET7003,INR,captured
PAY2098,ORD5098,Falcon Freight,2026-09-01,3671.74,73.43,0,3598.31,SET7003,INR,captured
PAY2099,ORD5099,Delta Textiles,2026-09-01,14180.5,283.61,0,13896.89,SET7004,INR,captured
PAY2100,ORD5100,Everline Media,2026-09-01,10421.86,208.44,0,10213.42,SET7004,INR,captured
PAY2101,ORD5101,Falcon Freight,2026-09-01,12160.93,243.22,0,11917.71,SET7004,INR,captured
PAY2102,ORD5102,Greenfield Farms,2026-09-01,10978.74,219.57,0,10759.17,SET7004,INR,captured
PAY2103,ORD5103,Everline Media,2026-09-01,4625.0,92.5,0,4532.5,SET7005,INR,captured
PAY2104,ORD5104,Falcon Freight,2026-09-01,6181.49,123.63,0,6057.86,SET7005,INR,captured
PAY2105,ORD5105,Greenfield Farms,2026-09-01,7024.55,140.49,0,6884.06,SET7005,INR,captured
PAY2106,ORD5106,Horizon Retail,2026-09-01,11125.04,222.5,0,10902.54,SET7005,INR,captured
PAY2107,ORD5107,Falcon Freight,2026-09-01,14860.02,297.2,0,14562.82,SET7006,INR,captured
PAY2108,ORD5108,Greenfield Farms,2026-09-01,14052.58,281.05,0,13771.53,SET7006,INR,captured
PAY2109,ORD5109,Horizon Retail,2026-09-01,12121.1,242.42,0,11878.68,SET7006,INR,captured
PAY2110,ORD5110,Indigo Health,2026-09-01,13052.12,261.04,0,12791.08,SET7006,INR,captured
PAY2111,ORD5111,Greenfield Farms,2026-09-01,9591.88,191.84,0,9400.04,SET7007,INR,captured
PAY2112,ORD5112,Horizon Retail,2026-09-01,10074.81,201.5,0,9873.31,SET7007,INR,captured
PAY2113,ORD5113,Indigo Health,2026-09-01,3902.52,78.05,0,3824.47,SET7007,INR,captured
PAY2114,ORD5114,Jupiter Electronics,2026-09-01,5898.91,117.98,0,5780.93,SET7007,INR,captured
PAY2115,ORD5115,Acme Traders,2026-09-01,15408.77,0,0,15408.77,,INR,captured
PAY2116,ORD5116,Bluewave Logistics,2026-09-01,18473.59,0,0,18473.59,,INR,captured
PAY2117,ORD5117,Crestline Foods,2026-09-01,10308.86,0,0,10308.86,,INR,captured
PAY2118,ORD5118,Delta Textiles,2026-09-01,28080.38,0,0,28080.38,,INR,captured
PAY2119,ORD5119,Everline Media,2026-09-01,18174.94,0,0,18174.94,,INR,captured
PAY2120,ORD5120,Falcon Freight,2026-09-01,28902.43,0,0,28902.43,,INR,captured
PAY2121,ORD5121,Greenfield Farms,2026-09-01,29462.82,0,0,29462.82,,INR,captured
PAY2122,ORD5122,Horizon Retail,2026-09-01,22343.53,0,0,22343.53,,INR,captured
PAY2123,ORD5123,Indigo Health,2026-09-01,14673.64,0,0,14673.64,,INR,captured
PAY2124,ORD5124,Jupiter Electronics,2026-09-01,29874.51,0,0,29874.51,,INR,captured
PAY2125,ORD5125,Acme Traders,2026-09-01,10913.56,0,0,10913.56,,INR,pending_settlement
PAY2126,ORD5126,Bluewave Logistics,2026-09-01,7081.11,0,0,7081.11,,INR,pending_settlement
PAY2127,ORD5127,Crestline Foods,2026-09-01,19720.02,0,0,19720.02,,INR,pending_settlement
PAY2128,ORD5128,Delta Textiles,2026-09-01,12115.62,0,0,12115.62,,INR,pending_settlement
PAY2129,ORD5129,Everline Media,2026-09-01,17840.91,0,0,17840.91,,INR,pending_settlement
PAY2130,ORD5130,Falcon Freight,2026-09-01,24808.62,0,0,24808.62,,INR,pending_settlement
PAY2131,ORD5131,Greenfield Farms,2026-09-01,20757.29,0,0,20757.29,,INR,pending_settlement
PAY2132,ORD5132,Horizon Retail,2026-09-01,10642.28,0,0,10642.28,,INR,pending_settlement
PAY2133,ORD5133,Acme Traders,2026-09-01,12555.7,0,0,12555.7,,INR,captured
PAY2134,ORD5134,Bluewave Logistics,2026-09-01,10077.97,0,0,10077.97,,INR,captured
PAY2135,ORD5135,Crestline Foods,2026-09-01,14557.82,0,0,14557.82,,INR,captured
PAY2136,ORD5136,Delta Textiles,2026-09-01,8035.44,0,0,8035.44,,INR,captured
PAY2137,ORD5137,Everline Media,2026-09-01,21003.25,0,0,21003.25,,INR,captured
PAY2138,ORD5138,Falcon Freight,2026-09-01,7961.56,0,0,7961.56,,INR,captured
PAY2139,ORD5139,Acme Traders,2026-09-01,23056.3,345.84,5764.07,16946.39,,INR,captured
PAY2140,ORD5140,Bluewave Logistics,2026-09-01,15427.43,231.41,3856.86,11339.16,,INR,captured
PAY2141,ORD5141,Crestline Foods,2026-09-01,19667.57,295.01,4916.89,14455.67,,INR,captured
PAY2142,ORD5142,Delta Textiles,2026-09-01,29819.76,447.3,7454.94,21917.52,,INR,captured
PAY2143,ORD5143,Everline Media,2026-09-01,18650.04,279.75,4662.51,13707.78,,INR,captured
PAY2144,ORD5144,Falcon Freight,2026-09-01,26074.24,391.11,6518.56,19164.57,,INR,captured
PAY2145,ORD5145,Falcon Freight,2026-09-01,11659.86,0,3497.96,8161.9,,INR,captured
PAY2146,ORD5146,Greenfield Farms,2026-09-01,10973.23,0,3291.97,7681.26,,INR,captured
PAY2147,ORD5147,Horizon Retail,2026-09-01,8178.79,0,2453.64,5725.15,,INR,captured
PAY2148,ORD5148,Indigo Health,2026-09-01,17819.08,0,5345.72,12473.36,,INR,captured
PAY2149,ORD5149,Bluewave Logistics,2026-09-01,9869.0,0,1973.8,7895.2,,INR,captured
PAY2150,ORD5150,Crestline Foods,2026-09-01,8862.7,0,1772.54,7090.16,,INR,captured
PAY2151,ORD5151,Delta Textiles,2026-09-01,13821.37,0,2764.27,11057.1,,INR,captured
PAY2152,ORD5152,Delta Textiles,2026-09-01,14399.25,0,0,14399.25,,INR,captured
PAY2153,ORD5153,Everline Media,2026-09-01,21496.81,0,0,21496.81,,INR,captured
PAY2154,ORD5154,Falcon Freight,2026-09-01,6224.51,0,0,6224.51,,INR,captured
PAY2155,ORD5155,Greenfield Farms,2026-09-01,24204.92,0,0,24204.92,,INR,captured
PAY2156,ORD5156,Horizon Retail,2026-09-01,14673.85,0,0,14673.85,,INR,captured
PAY2157,ORD5157,Indigo Health,2026-09-01,23761.51,0,0,23761.51,,INR,captured
PAY2158,ORD5158,Jupiter Electronics,2026-09-01,15000.0,0,0,15000.0,,INR,captured
PAY2159,ORD5159,Acme Traders,2026-09-01,8338.21,0,0,8338.21,,INR,captured
PAY2160,ORD5160,Bluewave Logistics,2026-09-01,16866.59,0,0,16866.59,,INR,captured
PAY2161,ORD5161,Crestline Foods,2026-09-01,11180.27,0,0,11180.27,,INR,captured
PAY2162,ORD5162,Delta Textiles,2026-09-01,17116.19,0,0,17116.19,,INR,captured
PAY2163,ORD5163,Acme Traders,2026-09-01,26519.43,0,0,26519.43,,INR,captured
PAY2164,ORD5164,Bluewave Logistics,2026-09-01,28901.61,0,0,28901.61,,INR,captured
PAY2165,ORD5165,Kestrel Analytics,2026-09-01,29344.32,0,0,29344.32,,INR,captured
PAY2166,ORD5166,Lumen Energy,2026-09-01,20092.94,0,0,20092.94,,INR,captured
PAY2167,ORD5167,Meridian Pharma,2026-09-01,24562.78,0,0,24562.78,,INR,captured
PAY2168,ORD5168,Novastar Apparel,2026-09-01,13470.8,0,0,13470.8,,INR,captured
PAY2169,ORD5169,Oakridge Furniture,2026-09-01,9995.52,0,0,9995.52,,INR,captured
PAY2170,ORD5170,Pinecrest Consulting,2026-09-01,39308.6,0,0,39308.6,,INR,captured
PAY2171,ORD5171,Acme Traders,2026-09-01,12294.61,0,0,12294.61,,INR,captured
PAY2172,ORD5172,Bluewave Logistics,2026-09-01,25705.88,0,0,25705.88,,INR,captured
PAY2173,ORD5173,Crestline Foods,2026-09-01,21303.59,0,0,21303.59,,INR,captured
PAY2174,ORD5174,Delta Textiles,2026-09-01,28546.24,0,0,28546.24,,INR,captured
PAY2175,ORD5175,Everline Media,2026-09-01,26075.53,0,0,26075.53,,INR,captured
PAY2176,ORD5176,Falcon Freight,2026-09-01,18755.33,0,0,18755.33,,INR,captured
PAY2177,ORD5177,Greenfield Farms,2026-09-01,28744.99,0,0,28744.99,,INR,captured
PAY2178,ORD5178,Acme Traders,2026-09-01,13170.04,0,0,13170.04,,INR,captured
PAY2179,ORD5179,Everline Media,2026-09-01,6656.32,0,0,6656.32,,INR,captured
PAY2180,ORD5180,Falcon Freight,2026-09-01,14331.95,0,0,14331.95,,INR,captured
PAY2181,ORD5181,Greenfield Farms,2026-09-01,17605.63,0,0,17605.63,,INR,captured
PAY2182,ORD5182,Horizon Retail,2026-09-01,13923.23,0,0,13923.23,,INR,captured
PAY2183,ORD5183,Indigo Health,2026-09-01,13883.58,0,0,13883.58,,INR,captured
PAY2184,ORD5184,Greenfield Farms,2026-09-01,26401.83,0,0,26401.83,,INR,captured
PAY2185,ORD5185,Horizon Retail,2026-09-01,41744.13,0,0,41744.13,,INR,captured
PAY2186,ORD5186,Indigo Health,2026-09-01,40617.19,0,0,40617.19,,INR,captured
PAY2187,ORD5187,Jupiter Electronics,2026-09-01,40973.7,0,0,40973.7,,INR,captured
PAY2188,ORD5188,Kestrel Analytics,2026-09-01,44563.8,0,0,44563.8,,INR,captured
PAY2189,ORD5189,Lumen Energy,2026-09-01,19847.18,0,0,19847.18,,INR,captured
PAY2190,ORD5190,Indigo Health,2026-09-01,11668.79,0,0,11668.79,SET7008,INR,captured
PAY2191,ORD5191,Jupiter Electronics,2026-09-01,10629.71,0,0,10629.71,SET7008,INR,captured
PAY2192,ORD5192,Kestrel Analytics,2026-09-01,6345.37,0,0,6345.37,SET7008,INR,captured
PAY2193,ORD5193,Jupiter Electronics,2026-09-01,11929.47,0,0,11929.47,SET7009,INR,captured
PAY2194,ORD5194,Kestrel Analytics,2026-09-01,5103.69,0,0,5103.69,SET7009,INR,captured
PAY2195,ORD5195,Lumen Energy,2026-09-01,5628.43,0,0,5628.43,SET7009,INR,captured
PAY2196,ORD5196,Kestrel Analytics,2026-09-01,5084.91,0,0,5084.91,SET7010,INR,captured
PAY2197,ORD5197,Lumen Energy,2026-09-01,10566.78,0,0,10566.78,SET7010,INR,captured
PAY2198,ORD5198,Meridian Pharma,2026-09-01,6165.56,0,0,6165.56,SET7010,INR,captured
PAY2199,ORD5199,Lumen Energy,2026-09-01,13716.63,0,0,13716.63,SET7011,INR,captured
PAY2200,ORD5200,Meridian Pharma,2026-09-01,15593.16,0,0,15593.16,SET7011,INR,captured
PAY2201,ORD5201,Novastar Apparel,2026-09-01,6101.35,0,0,6101.35,SET7011,INR,captured
